ACG 2021, Principles of Financial Accounting
EDE 4942, Childhood Education Internship Level II
EDE 4943, Alternative Setting Field Experience
EDE 4944, Childhood Education Internship Level III
EDE 4947, Clinical Education I
EDE 4948, Clinical Education II
EDE 4949, Clinical Education III
EDF 2005, Introduction to the Teaching Profession
EDF 2085, Education Diversity and Global Society
EDF 3122, Learning and the Developing Child
EDF 3132, Child and Adolescent Development
EDF 3214, Human Development and Learning
EDF 3228, Human Behavior and Environmental Selection
EDF 3514, History of Education in the United States
EDF 3604, Schools and Society
EDF 3802, The Dynamics of Unity
EDF 4124, Child Growth and Learning
EDF 4430, Measurement for Teachers
EDF 4440, Measurement Concepts and Assessment of All Students
EDF 4490, Global Studies in Research Design
EDF 4909, Directed Study: Educational Foundations
EDG 2930, Selected Topics
EDG 3361, Positive Psychology in the Schools
EDG 3374, Arts Integrated Pedagogy for Critical Thinking And Creative Design
EDG 3801, Cybersecurity and the Everyday Citizen
EDG 3943, Integrated Clinical Experience Grades K-5
EDG 4012, Standards Based Education
EDG 4376, Literacy/Literature and Social Studies/ESE
EDG 4444, Instructional Design and Classroom Management
EDG 4909, Directed Studies
EDG 4934, Final Intern Seminar
EDG 4941, Practicum in Secondary Teaching
EDG 4944, Integrated Final Internship
EDM 3403, Middle Level Education
EDM 3620, Teaching the Young Adolescent Learner
EDM 4406, Contemporary Issues in STEM Education
EDP 2210, Learning in the Real World
EDP 3271, Child Development within a School Context
EDP 3272, Learning within a School Context
EDP 3273, Learning and Development within the School Context
EDP 4275, Enhancing Children’s Learning and Development within a School Context
EEC 4008, Teaching Literature and Writing in Early Childhood
EEC 4203, Programs for Young Children
EEC 4211, Science for Young Children
EEC 4212, Integrated Curriculum: Social Sciences/Humanities & Art
EEC 4303, Creative and Affective Experiences for Young Children
EEC 4307, Cognitive Experience for Young Children
EEC 4321, Mathematics for Young Children
EEC 4404, Family School and Community Partnerships
EEC 4408, Child Family & Teacher Relations
EEC 4604, Classroom Management and Guidance of Young Children
EEC 4613, Assessment and Evaluation of Young Children
EEC 4614, Current Trends and Issues in Early Childhood Education
EEC 4706, Language and Emerging Literacy
EEC 4909, Directed Study: Early Childhood Education
EEC 4936, Senior Seminar in Early Childhood Education
EEC 4940, Internship: Early Childhood
EEC 4941, Field Experience I
EEC 4942, Field Experience II
EEC 4943, Field Experience III
EEE 3302, Electronics I
EEE 3394, Electrical Engineering Science I - Electronic Materials
EEE 4271, Bioelectronics
EEE 4274, MEMS I: Chemical/Biomedical Sensors and Microfabrication
EEE 4301, Electronics II
EEE 4359, Analog CMOS/VLSI Design
EEE 4410, System on a Chip
EEE 4423, Quantum Computing and Communications
EEE 4506, Biomedical Image Processing
EEE 4530, Flexible Electronics and Thin-Film Solar Cells
EEE 4746, Wireless Mobile Computing and Security
EEE 4748, Cryptography and Data Security
EEE 4774, Data Analytics
EEL 2161, Programming with C
EEL 3100, Network Analysis and Design
EEL 3705, Fundamentals of Digital Circuits
EEL 3924, Makecourse-Art: Leonardo in the New Millennium
EEL 4010, MAKE Hands-On Engineering Design
EEL 4030, Electrical Systems Environments
EEL 4102, Signals and Systems
EEL 4212, Energy Delivery Systems
EEL 4213, Industrial Power Distribution 1
EEL 4214, Electric (Utility) Distribution Systems
EEL 4224, Electric Machines and Drives
EEL 4241, Power Electronics
EEL 4251, Power System Analysis
EEL 4252, Power Systems II
EEL 4258, Industrial Power Distribution 2
EEL 4271, Power System Protection
EEL 4283, Sustainable Energy
EEL 4295, Power Quality
EEL 4420, RF & Microwave Measurements
EEL 4421, RF/Microwave Circuits I
EEL 4422, RF/Microwave Circuits II
EEL 4461, Antenna Theory
EEL 4567, Electro-Optics
EEL 4595, Mobile and Personal Communication
EEL 4635, Digital Control Systems
EEL 4657, Linear Control Systems
EEL 4663, Applied Robotics
EEL 4680, Applied Mechatronics
EEL 4740, Embedded Systems
EEL 4744, Microprocessor Principles and Applications
EEL 4756, Digital Signal Processing
EEL 4782, Data Networks and Systems and Security
EEL 4835, Programming Design
EEL 4872, AI and Security in Cyber Physical Systems
EEL 4905, Independent Study
EEL 4906, EE Design 1
EEL 4914, EE Design 2
EEL 4935, Special Electrical Engineering Topics I
EEL 4936, Special Electrical Engineering Topics II
EEL 4937, Special Electrical Engineering Topics III
EEX 3751, Enhancing Family Involvement in Education
EEX 4012, Foundations of Special Education
EEX 4070, Integrating Exceptional Students in the Regular Classroom
EEX 4084, Instruction for Exceptional and Diverse Students
EEX 4201, Young Children With Special Needs
EEX 4202, Context and Foundations
EEX 4240, Beginning to Teach
EEX 4241, Creating Effective Learning Environments
EEX 4242, Enhancing Expertise in Teaching and Instructional Decision Making
EEX 4244, Becoming a Special Education Teacher
EEX 4742, Narrative Perspectives on Exceptionality: Cultural and Ethical Issues
EEX 4764, Instructional and Adaptive Technologies for Exceptionalities
EEX 4880, Integrated Clinical Experience: ESE Secondary 6-12
EEX 4894, Clinical Teaching in Special Education
EEX 4909, Directed Study: Exceptional Student Education
EEX 4942, Practicum in Exceptional Teacher Candidate Education
EEX 4944, Final Internship
EGN 1113, Introduction to Design Graphics
EGN 3000, Foundations of Engineering
EGN 3060, Mechatronics for Innovation
EGN 3311, Statics
EGN 3321, Dynamics
EGN 3331, Mechanics of Materials
EGN 3343, Thermodynamics I
EGN 3353, Basic Fluid Mechanics
EGN 3365, Materials Engineering I
EGN 3373, Electrical Systems I
EGN 3374, Introduction to Electrical Systems II
EGN 3375, Electromechanical Systems
EGN 3420, Engineering Analysis
EGN 3433, Modeling and Analysis of Engineering Systems
EGN 3443, Probability and Statistics for Engineers
EGN 3615, Engineering Economics with Social and Global Implications
EGN 3940, Professional Engineering Internship
EGN 4450, Introduction to Linear Systems
EGN 4453, Numerical & Computer Tools I in Civil & Env Eng
EGN 4454, Numerical & Computer Tools II in Civil & Env Eng
EGN 4905, Independent Study
EGN 4930, Special Topics in Engineering
EGS 2040, History of Technology
EGS 2070, Professional Formation of Engineers 1
EGS 3011, Research Design Methods & Interpretation
EGS 3071, Professional Formation of Engineers 2
EGS 3072, Professional Formation of Engineers 3
EGS 3720, Globalization and Technology
EIN 4142, Project Management
EIN 4172, ISO 9000/14000
EIN 4173, Quality Management Systems
EIN 4180, Principles of Engineering Management
EIN 4200, Creativity in Technology
EIN 4213, Engineering Systems Safety
EIN 4214, Occupational Safety Engineering
EIN 4241, Human-Machine Systems Engineering
EIN 4333, Production Control
EIN 4451, Statistical Methods of Lean Six Sigma
EIN 4621, Manufacturing Processes
EIN 4890, Industrial Engineering Senior Design Project I
EIN 4891, Industrial Engineering Senior Design Project II
EIN 4933, Special Topics in Industrial Engineering
EIN 4940, Industry Internship
EMA 4003, Introduction to Materials Science
EME 2040, Technology for Leading and Learning
EME 4390, Digital Identity
EML 3022, Computer Aided Design and Engineering
EML 3035, Programming Concepts for Mechanical Engineers
EML 3041, Computational Methods
EML 3262, Kinematics and Dynamics of Machinery
EML 3303, Mechanical Engineering Lab I
EML 3500, Mechanics of Solids
EML 3701, Fluid Systems
EML 4123, Heat Transfer
EML 4141, Thermal Management of Electronic Systems
EML 4220, Vibrations
EML 4230, Introduction to Composite Materials
EML 4284, Compliant Mechanisms
EML 4302, Mechanical Engineering Laboratory II
EML 4310, Microcontrollers
EML 4312, Mechanical Controls
EML 4325, Mechanical Manufacturing Processes
EML 4395, Motor Selection and Control
EML 4419, Propulsion I
EML 4421, Internal Combustion Engines
EML 4450, Alternative & Renewable Energy
EML 4501, Machine Design
EML 4503, Sustainable Design and Materials
EML 4536, Applied Finite Element Analysis
EML 4542, Materials Selection
EML 4550, Capstone I - Ethics
EML 4551, Capstone II - Design
EML 4552, Senior Mechanical Design
EML 4575, Principles of Fracture Mechanics
EML 4593, Haptics
EML 4601, Air Conditioning Design
EML 4702, Fluid Dynamics II
EML 4703, Mechanics of Compressible Fluids
EML 4905, Independent Study
EML 4930, Special Topics in Mechanical Engineering
ENC 1101, Composition I
ENC 1102, Composition II
ENC 1130, Improving College-Level Writing
ENC 2210, Technical Writing
ENC 3241, Scientific Writing and Presentation
ENC 3242, Technical Communication for Majors
ENC 3246, Communication for Engineers
ENC 3249, Communication for IT Professionals
ENC 3250, Professional Writing
ENC 3266, Research Methods for Professional and Technical Communication
ENC 3310, Expository Writing
ENC 3330, Rhetorical Traditions
ENC 3331, Client and Civic Communication
ENC 3370, Writing Technologies
ENC 3371, Rhetorical Theory for Technical Communication
ENC 3373, Rhetoric of Marginalized Communities
ENC 3376, Multimodal Composition
ENC 3416, New Media for Technical Communication
ENC 3435, Rhetoric and Gaming
ENC 3445, Introduction to the English Major
ENC 4212, Professional & Technical Editing
ENC 4218, Visual Rhetoric for Technical Communication
ENC 4260, Technical and Professional Communication Capstone
ENC 4264, Managerial Communications
ENC 4268, Senior Seminar in Professional & Technical Writing
ENC 4311, Advanced Composition
ENC 4351, Writing for Publication
ENC 4353, Public Rhetorics
ENC 4377, Advanced Rhetoric
ENC 4403, Grant Writing
ENC 4431, Writing and New Media
ENC 4906, Professional & Technical Writing Independent Study
ENC 4931, Selected Topics in Professional and Technical Writing
ENC 4940, Technical and Professional Communication Internship
ENC 4946, Professional & Technical Writing Internship
ENG 3014, Introduction to Literary Methodology
ENG 3113, Film as Narrative Art
ENG 3674, Film and Culture
ENG 4013, Literary Criticism
ENG 4042, Studies in Theory and Criticism
ENG 4060, History of the English Language
ENG 4818, Feminist Digital Humanities
ENG 4906, Individual Research
ENG 4907, Directed Reading
ENG 4934, Senior Literature Seminar
ENG 4935, Honors Seminar I
ENG 4936, Honors Seminar II
ENG 4940, Internship in English
ENG 4950, Senior Portfolio
ENG 4955, English Studies Abroad
ENG 4970, Honors Thesis
ENL 3015, British Literature to 1616
ENL 3016, Studies in 17th and 18th Century British Literature
ENL 3017, Studies in 19th Century British Literature
ENL 3230, British Literature 1616-1780
ENL 3251, British Literature 1780-1900
ENL 3270, British Literature 1900 to the Present
ENL 3273, British Literature 1900-1945
ENL 3331, Early Shakespeare
ENL 3332, Late Shakespeare
ENL 3333, Shakespeare
ENL 3334, Shakespeare from an Historical Perspective
ENL 4112, Eighteenth-Century British Novel
ENL 4122, 19th Century British Novel
ENL 4132, British Novel: Conrad to the Present
ENL 4203, Introduction to Old English
ENL 4303, Selected British Authors
ENL 4311, Chaucer
ENL 4341, Milton
ENL 4501, Studies in Medieval and Early Modern Literature
ENL 4930, Selected Topics
ENL 4931, Studies In British Literature And Culture
ENT 3003, Principles of Business in Entrepreneurship
ENT 3004, Principles of Entrepreneurship
ENT 3613, Creativity and Innovation in Entrepreneurial Firms
ENT 4014, New Venture Formation
ENT 4024, Small Business Management - Entrepreneurship
ENT 4214, Entrepreneurial Leadership
ENT 4244, Scalability in Entrepreneurial Firms
ENT 4424, Fundamentals of Venture Capital and Private Equity
ENT 4803, Sustainable Entrepreneurship
ENT 4940, Internship in Entrepreneurship
ENT 4945, Student Consulting in High Growth Ventures
ENV 2061, Engineering Sustainable and Healthy Environments
ENV 2073, Global Warming: Science and Politics of a Contemporary Issue
ENV 4001, Environmental Systems Engineering
ENV 4071, Environmental Site Assessment
ENV 4082, Environmental Field Sampling
ENV 4102, Air Pollution Fundamentals
ENV 4351, Solid Waste Engineering
ENV 4417, Water Quality and Treatment
ENV 4612, Green Engineering for Sustainability
ENV 4620, Envision Sustainable Communities
ESC 2000, Introduction to Earth Science
ESC 3210, Earth and Space Science Fundamentals
ESC 4705, Geology and Development of Modern Africa
ESE 4322, Classroom Management for Diverse School and Society
ESE 4341, Secondary Teaching Methods
ESI 4007, Engineering Programming
ESI 4221, Statistical Methods in Quality Analytics
ESI 4244, Design of Experiments
ESI 4312, Foundations of Optimization
ESI 4313, Stochastic Systems
ESI 4326, Engineering the Supply Chain
ESI 4523, Systems Simulation
ESI 4606, Analytics I - Foundations of Data Science
ESI 4607, Analytics II- Applied Data Science
ESI 4620, Principles of Data Engineering
ESI 4905, Independent Study
EUH 2011, Ancient History I
EUH 2012, Ancient History II
EUH 2022, The Medieval West
EUH 2030, Modern European History I
EUH 2031, Modern European History II
EUH 3124, Early Crusades
EUH 3129, Medieval Warfare
EUH 3142, Italy During the Renaissance
EUH 3185, Viking History
EUH 3202, History of 17th and 18th Century Europe
EUH 3205, History of Nineteenth Century Europe
EUH 3206, History of Twentieth Century Europe
EUH 3401, Classical Greece
EUH 3402, Age of Alexander
EUH 3412, Roman Republic
EUH 3413, Roman Empire
EUH 3452, Age of the French Revolution
EUH 3501, British History to 1688
EUH 3533, Celtic History
EUH 3575, History of Imperial Russia 1689-1917
EUH 3576, History of the Soviet Union 1917-1991
EUH 3673, Food and Drink in Antiquity
EUH 3676, Early Christians Pagans and Heretics
EUS 3000, Europe
EUS 3022, Russia
EVR 2001, Introduction to Environmental Science
